config,fid,seed,reported_best,true_best,reached,crashed,real_evals,counted_evals,stage,gens,zero_hq_rows
published,4,5,0.0,0.0,True,,5183,4315,1,863,0
published,4,6,0.0,0.0,True,,5165,4300,1,860,0
published,4,7,0.0,0.0,True,,5237,4360,1,872,0
published,4,8,0.0,0.0,True,,5297,4410,1,882,0
published,4,9,0.0,0.0,True,,5261,4380,1,876,0
published,4,10,0.0,0.0,True,,5204,4335,1,867,0
published,4,11,0.0,0.0,True,,5291,4405,1,881,0
published,4,12,0.0,0.0,True,,5277,4395,1,879,0
published,4,13,0.0,0.0,True,,5273,4390,1,878,0
published,4,14,0.0,0.0,True,,5334,4450,1,890,0
published,4,15,0.0,0.0,True,,5171,4305,1,861,0
published,4,16,0.0,0.0,True,,5183,4315,1,863,0
published,4,17,0.0,0.0,True,,5171,4305,1,861,0
published,4,18,0.0,0.0,True,,5201,4330,1,866,0
published,4,19,0.0,0.0,True,,5219,4345,1,869,0
published,4,20,0.0,0.0,True,,5231,4355,1,871,0
published,4,21,0.0,0.0,True,,5171,4305,1,861,0
published,4,22,0.0,0.0,True,,5189,4320,1,864,0
published,4,23,0.0,0.0,True,,5195,4325,1,865,0
published,4,24,0.0,0.0,True,,5231,4355,1,871,0
published,4,25,0.0,0.0,True,,5309,4420,1,884,0
published,4,26,0.0,0.0,True,,5219,4345,1,869,0
published,4,27,0.0,0.0,True,,5278,4395,1,879,0
published,4,28,0.0,0.0,True,,5129,4270,1,854,0
published,4,29,0.0,0.0,True,,5236,4360,1,872,0
published,4,30,0.0,0.0,True,,5243,4365,1,873,0
published,5,1,47.01265727599379,47.01265727599379,False,,29690,25040,2,1133,69
published,5,2,47.19578949654303,47.19578949654303,False,,30047,25025,2,265,69
published,5,3,47.748199524875595,47.748199524875595,False,,29619,25005,2,1121,69
published,5,4,47.5612426462516,47.5612426462516,False,,29673,25010,2,1140,69
published,5,5,46.966509068942166,46.966509068942166,False,,29606,25030,2,1133,69
published,5,6,46.90666950862933,46.90666950862933,False,,29683,25055,2,1133,69
published,5,7,47.32534537014511,47.32534537014511,False,,29645,25040,2,1153,69
published,5,8,46.87885496135916,46.87885496135916,False,,29670,25055,2,1139,69
published,5,9,47.701129389292845,47.701129389292845,False,,29694,25065,2,1123,69
published,5,10,46.75614504640657,46.75614504640657,False,,29634,25020,2,1174,69
published,5,11,46.443849100269865,46.443849100269865,False,,30028,25005,2,422,69
published,5,12,46.74752054185921,46.74752054185921,False,,29656,25090,2,1126,69
published,5,13,46.77691802272261,46.77691802272261,False,,29656,25040,2,1130,69
published,5,14,47.03964089748557,47.03964089748557,False,,29626,25010,2,1134,69
published,5,15,47.6164830026838,47.6164830026838,False,,30032,25005,2,271,69
published,5,16,46.6527508811363,46.6527508811363,False,,29694,25055,2,1137,69
published,5,17,48.06285479717087,48.06285479717087,False,,29593,25015,2,1130,69
